strain_name,strain_slug,strain_category,strain_popularity,strain_aliases,strain_id,condition_add_adhd_votes,condition_alzheimers_votes,condition_anorexia_votes,condition_anxiety_votes,condition_arthritis_votes,condition_asthma_votes,condition_bipolar_disorder_votes,condition_cachexia_votes,condition_cancer_votes,condition_crohns_disease_votes,condition_epilepsy_votes,condition_fibromyalgia_votes,condition_gastrointestinal_disorder_votes,condition_glaucoma_votes,condition_hiv_aids_votes,condition_hypertension_votes,condition_migraines_votes,condition_multiple_sclerosis_votes,condition_muscular_dystrophy_votes,condition_parkinsons_votes,condition_phantom_limb_pain_votes,condition_pms_votes,condition_ptsd_votes,condition_spinal_cord_injury_votes,condition_tinnitus_votes,condition_tourettes_syndrome_votes,effect_aroused_votes,effect_creative_votes,effect_energetic_votes,effect_euphoric_votes,effect_focused_votes,effect_giggly_votes,effect_happy_votes,effect_hungry_votes,effect_relaxed_votes,effect_sleepy_votes,effect_talkative_votes,effect_tingly_votes,effect_uplifted_votes,flavor_ammonia_votes,flavor_apple_votes,flavor_apricot_votes,flavor_berry_votes,flavor_blue_cheese_votes,flavor_blueberry_votes,flavor_butter_votes,flavor_cheese_votes,flavor_chemical_votes,flavor_chestnut_votes,flavor_citrus_votes,flavor_coffee_votes,flavor_diesel_votes,flavor_earthy_votes,flavor_flowery_votes,flavor_grape_votes,flavor_grapefruit_votes,flavor_honey_votes,flavor_lavender_votes,flavor_lemon_votes,flavor_lime_votes,flavor_mango_votes,flavor_menthol_votes,flavor_mint_votes,flavor_nutty_votes,flavor_orange_votes,flavor_peach_votes,flavor_pear_votes,flavor_pepper_votes,flavor_pine_votes,flavor_pineapple_votes,flavor_plum_votes,flavor_pungent_votes,flavor_rose_votes,flavor_sage_votes,flavor_skunk_votes,flavor_spicy_herbal_votes,flavor_strawberry_votes,flavor_sweet_votes,flavor_tar_votes,flavor_tea_votes,flavor_tobacco_votes,flavor_tree_fruit_votes,flavor_tropical_votes,flavor_vanilla_votes,flavor_violet_votes,flavor_woody_votes,negative_anxious_votes,negative_dizzy_votes,negative_dry_eyes_votes,negative_dry_mouth_votes,negative_headache_votes,negative_paranoid_votes,review_total_condition_votes,review_total_effect_votes,review_total_flavor_votes,review_total_negative_votes,review_total_symptom_votes,symptom_cramps_votes,symptom_depression_votes,symptom_eye_pressure_votes,symptom_fatigue_votes,symptom_headaches_votes,symptom_inflammation_votes,symptom_insomnia_votes,symptom_lack_of_appetite_votes,symptom_muscle_spasms_votes,symptom_nausea_votes,symptom_pain_votes,symptom_seizures_votes,symptom_spasticity_votes,symptom_stress_votes
cherry sherbet,cherry-sherbet,Hybrid,0.0035396911667738046,"BLACKBERRYSHERBET,CHERRYSHERBET",233071,0,1,2,5,4,1,2,1,1,1,1,2,2,1,1,2,3,1,1,1,1,3,3,1,2,1,6,3,1,6,4,5,8,3,9,5,3,5,5,1,1,1,4,1,1,1,1,1,1,3,1,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,9,1,1,1,2,1,1,2,1,1,4,5,5,1,2,9,17,13,10,9,4,5,0,2,2,1,3,4,2,2,6,0,0,8
easy bud,easy-bud,Hybrid,0.0007807736556484698,,233423,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,2,3,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,2
frisian duck,frisian-duck,Hybrid,0.004599115491045933,,233519,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,4,7,4,4,7,6,6,3,4,3,5,0,0,0,4,0,0,0,0,0,1,3,0,0,2,1,1,1,0,1,0,0,0,1,1,1,0,0,0,2,8,1,0,0,1,0,1,5,0,6,0,0,0,0,1,0,0,3,0,1,4,4,1,0,2,12,10,5,8,0,2,0,3,3,1,0,5,1,1,3,0,0,3
dj smoke,dj-smoke,Hybrid,0.0008525055109377285,,233551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darkside og,darkside-og,Indica,0.005195041673449006,,233583,1,0,0,3,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,7,0,1,5,2,9,6,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,1,2,0,0,3,11,8,2,4,1,0,1,1,0,0,2,0,2,1,2,1,0,3
blue galaxy,blue-galaxy,Hybrid,0.0015118867960966834,BLUEGALAXY,233584,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,6,2,4,0,1,1,2,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,7,5,2,2,0,2,0,0,1,0,0,0,0,0,2,0,0,2
dr feelgood,dr-feelgood,Hybrid,0.001920206587743233,,233615,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,1,0,4,0,4,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,5,2,2,3,1,2,1,0,0,0,1,0,0,1,1,0,0,3
fat nelson,fat-nelson,Hybrid,0.0021712680812556386,,233743,2,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,4,3,7,1,2,5,1,3,1,3,1,4,0,1,0,2,0,1,0,0,0,0,3,0,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,2,7,6,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,2
la sunshine,la-sunshine,Hybrid,0.005917878061363843,BLUESUNSHINE,233744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,2,1,1,5,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,3,1,2,0,2,0,1,1,0,0,0,0,0,1,0,0,2
blue cinex,blue-cinex,Hybrid,0.00098769246898287,BLUECINEX,233775,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,3,5,7,10,1,9,0,5,1,4,2,10,0,0,0,1,2,2,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,0,0,3,12,6,3,8,0,6,0,3,0,2,0,0,0,1,4,0,0,6
ghost og moonshine,ghost-og-moonshine,Indica,0.001078736746850006,GHOSTOGMOONSHINE,233807,1,0,1,6,4,1,3,1,1,1,2,1,4,1,0,0,3,1,0,0,0,0,4,2,0,0,1,6,7,8,5,3,11,8,10,5,7,3,9,0,0,0,0,0,1,0,0,0,0,1,1,0,5,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,2,0,0,2,0,0,2,1,0,1,0,0,1,0,0,1,0,3,0,0,1,4,0,0,11,13,7,4,8,1,5,0,2,1,4,4,6,2,2,6,0,2,4
gupta haze,gupta-haze,Hybrid,0.00014898154560076809,,233808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,3,2,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wedding cake,wedding-cake,Hybrid,0.9237738680851181,"WEDDINGCAKE,TRUEOGXWEDDINGCAKE",233839,31,4,17,199,33,13,52,4,16,6,11,16,34,7,2,24,46,14,8,5,9,26,76,17,11,5,159,244,148,493,224,228,594,280,717,246,188,191,424,7,3,3,39,3,8,21,6,12,3,86,11,28,167,64,10,11,19,17,32,11,4,5,10,25,10,2,2,91,49,4,0,82,7,15,35,21,4,216,5,6,5,16,15,136,6,52,33,53,93,201,20,26,262,896,441,282,304,33,172,16,47,58,45,102,96,42,54,141,8,10,225
big band,big-band,Hybrid,0.00039176628657979753,,234512,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,5,2,7,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,2,2,0,0,2,8,3,4,6,0,1,0,2,1,1,2,1,1,1,2,0,0,1
lucy,lucy,Hybrid,0.008483671346710405,,234513,1,0,0,13,5,1,0,0,0,1,2,1,2,0,0,3,5,2,0,0,0,2,5,3,1,0,4,4,3,5,6,2,9,2,21,7,1,2,9,1,0,0,1,0,0,0,0,1,1,1,0,0,12,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,6,0,0,2,1,1,0,1,0,6,0,3,0,0,0,0,0,6,0,0,6,8,0,0,18,24,19,9,21,4,6,1,3,6,9,6,1,7,4,13,2,2,13
martian candy,martian-candy,Hybrid,0.007479425372660783,MARTIAN,234544,2,0,0,11,1,0,4,0,0,0,0,1,1,0,0,1,4,0,0,0,0,1,2,0,0,0,3,8,2,13,3,5,15,5,18,6,5,3,13,0,0,0,1,0,0,0,0,1,0,1,0,0,6,4,0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,0,0,5,0,0,1,0,0,9,0,1,1,0,1,0,0,4,1,0,2,5,0,1,15,22,13,6,15,2,9,5,7,4,3,7,6,1,4,6,1,2,10
extreme og,extreme-og,Indica,0.0061551449673206225,"EXTREMEORANGE,EXTREMEOG",234640,1,0,0,4,3,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,2,1,1,3,6,11,8,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,3,5,0,0,6,11,5,6,9,0,3,0,4,3,1,5,5,2,3,8,0,0,6
ape shit,ape-shit,Hybrid,0.002883068799125975,,234705,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2,1,2,0,3,4,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,1,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1
purple cheddar,purple-cheddar,Indica,0.0018401979799205985,"PURPLEHEART4,PURPLEHEART,PURPLEHEART5",234706,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,0,2,9,4,14,5,1,16,6,19,10,5,6,9,0,1,0,4,3,1,0,12,0,0,0,0,0,10,1,7,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,1,0,0,6,0,0,0,0,0,0,1,2,0,1,0,5,1,1,5,22,17,5,12,1,5,1,2,3,3,6,4,2,4,9,0,1,6
deadwood,deadwood,Indica,0.0,,234735,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,2,0,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2
devils tit,devils-tit,Sativa,0.0032775940032168977,,234767,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,3,5,2,3,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,3,0,1,1,0,1,3,8,4,3,4,1,2,0,1,3,1,1,1,1,0,1,0,0,3
skunkberry,skunkberry,Hybrid,0.013935292348694067,"SUNBERRY,SKUNKBERRY",234769,3,0,1,17,6,1,6,0,0,1,0,3,5,0,0,2,6,0,2,0,0,2,10,4,2,0,7,14,7,33,13,8,37,7,42,12,15,7,26,0,0,0,23,1,22,0,1,0,0,4,0,1,6,3,1,0,0,0,1,2,0,0,0,1,1,0,0,0,2,0,0,12,0,0,24,2,1,11,1,0,0,2,2,0,0,1,1,1,8,13,0,3,21,52,38,19,26,2,16,4,6,7,9,6,10,6,6,18,0,0,18
green love potion,green-love-potion,Indica,0.005112274148115246,GREENLOVEPOTION,234801,2,0,1,11,3,2,3,1,0,0,0,6,2,0,0,3,3,1,0,0,0,1,5,4,1,0,9,7,4,13,5,3,14,7,19,4,3,6,13,0,0,0,1,0,0,1,0,1,1,2,1,1,4,5,0,0,2,7,1,0,0,0,1,1,0,0,0,1,5,1,0,5,1,1,1,4,0,7,1,1,1,0,1,1,0,3,0,0,2,4,1,0,15,23,20,6,17,4,10,1,3,5,4,4,4,8,3,13,1,4,12
acid,acid,Hybrid,0.003597628434507437,ACID,234863,3,1,1,5,2,1,3,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,5,1,1,1,1,13,10,15,4,3,14,4,6,2,3,4,6,0,0,0,0,0,0,0,2,2,0,3,0,8,7,1,0,2,0,0,4,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,1,6,6,1,0,7,22,14,9,13,1,6,1,2,4,1,4,4,2,6,4,1,1,10
allkush,allkush,Indica,0.000568337007291819,,234895,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,0,2,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
dutch kush,dutch-kush,Indica,0.0015808597338748168,,234927,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,2,1,5,6,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,8,6,2,4,0,1,0,0,1,1,3,2,0,0,1,0,0,3
lucid bolt,lucid-bolt,Indica,0.0005159175745804377,,234959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,3,1,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
cherries jubilee,cherries-jubilee,Indica,0.0009435497888048645,,234960,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,2,9,4,3,5,0,8,1,1,3,7,0,1,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,3,1,0,0,2,0,0,0,4,0,0,2,12,9,4,7,1,6,0,2,1,1,2,0,2,3,5,0,1,6
opium,opium,Hybrid,0.004414268017800536,OPIUM,234991,3,0,0,4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,3,6,2,3,5,2,8,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,2,1,3,0,0,6,12,6,4,8,1,6,2,0,0,0,2,0,1,1,4,0,1,5
spoetnik 1,spoetnik-1,Indica,0.00019864206080102411,,234992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,3,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,4,4,2,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1
webster,webster,Sativa,0.00032003443129053884,,235023,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,3,2,1,0,2,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,0,0,0,1,0,0,1,1,0,1,0,0,0,2,7,5,1,4,0,2,1,2,1,1,0,0,1,0,2,0,0,3
afpak,afpak,Hybrid,0.0011063259219612593,FAK,235055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,3,3,6,2,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,5,0,4,0,4,0,1,1,1,2,2,1,0,2,0,0,4
jazz,jazz,Hybrid,0.006850392180124207,"RAZZ,JAZZ",235087,2,0,0,8,2,1,5,2,0,0,0,4,1,0,0,1,0,0,1,1,0,4,5,1,2,0,3,7,8,9,3,3,11,1,11,4,3,2,16,0,0,0,0,0,0,1,0,0,0,5,0,0,0,3,1,0,1,0,2,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0,0,0,0,3,1,0,0,1,1,0,0,1,2,1,3,5,0,2,13,22,12,9,13,1,8,0,5,1,1,3,3,2,2,7,0,3,10
chloe,chloe,Hybrid,0.0007559433980483417,,235216,1,0,1,1,2,0,1,1,0,1,0,2,0,0,0,1,0,1,0,0,1,0,5,0,0,0,1,7,8,10,4,1,11,2,8,3,4,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,15,7,1,6,0,4,0,1,1,2,3,2,2,0,3,0,1,3
sasquatch sap,sasquatch-sap,Hybrid,0.0018429568974317237,"SASQUATCHNUTS,SASQUATCH",235280,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,2,5,4,1,4,1,5,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,1,0,2,1,0,0,0,0,0,0,1,1,0,1,3,0,0,2,7,7,3,3,0,1,1,0,1,0,1,0,0,0,1,0,0,3
illuminati og,illuminati-og,Indica,0.004050090906331991,,235375,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,2,0,5,4,1,6,3,11,6,1,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,3,1,0,2,11,4,4,5,0,3,0,0,1,1,4,2,0,0,2,0,1,3
anonymous og,anonymous-og,Indica,0.000626274275025451,,235376,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,7,4,2,2,0,1,1,1,0,1,1,1,0,1,1,0,0,1
strawberry og,strawberry-og,Hybrid,0.014721583839364788,STRAWBERRYXKIMBO,235407,3,0,0,12,3,3,4,0,0,1,0,1,2,0,0,1,2,0,0,0,0,2,6,2,0,0,6,14,12,22,7,11,32,18,27,4,11,6,17,0,0,0,8,0,1,0,0,0,0,1,0,7,4,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,1,0,3,1,0,3,1,21,11,0,0,0,2,2,0,0,1,2,2,5,10,1,2,16,41,26,16,23,4,16,2,7,5,6,4,7,3,4,10,1,2,13
project blue book,project-blue-book,Hybrid,0.0018512336499650996,,235503,2,0,0,3,1,0,0,0,0,1,0,2,1,0,0,1,2,0,0,0,0,0,2,0,0,0,1,4,1,4,3,2,8,1,3,0,3,2,5,0,0,0,3,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,0,1,0,0,0,0,0,0,1,0,1,2,0,0,4,8,6,2,5,0,3,0,2,1,1,0,0,2,0,3,0,1,3
agent tangie,agent-tangie,Hybrid,0.00044694463680230426,GTHXTANGIE,235567,3,0,0,4,2,1,2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,3,2,1,1,0,6,4,8,5,3,7,3,5,0,1,1,7,0,1,0,0,0,0,0,0,0,0,9,0,0,5,1,0,1,0,0,2,1,2,1,0,0,5,0,0,5,0,1,0,6,1,1,7,3,0,1,0,0,0,3,1,0,0,0,1,0,5,4,0,0,4,10,10,6,3,1,3,1,3,2,2,1,0,1,1,1,1,0,3
larry bird kush,larry-bird-kush,Hybrid,0.03598456109760774,,235952,3,0,1,7,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,3,1,2,1,1,4,8,11,6,5,12,2,15,4,4,3,13,0,0,0,1,0,0,0,0,0,0,2,0,0,5,2,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,2,5,1,0,10,20,8,8,9,3,5,1,2,2,4,1,1,4,1,4,1,1,4
shiskaquine,shiskaquine,Hybrid,0.0,,236079,1,0,0,4,1,0,2,0,0,0,0,1,0,0,0,2,4,0,1,0,0,0,3,2,0,0,0,1,3,2,4,1,2,1,5,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,7,5,1,7,1,2,0,1,4,3,0,0,1,2,5,1,0,4
blueberry og,blueberry-og,Hybrid,0.02104778169237518,"BLUEBERRYLOT4,BLUEBERRYLOT5,BLUEBERRYGUM,BLUEBERRYGTP,BLUEBERRYWIDOW,BLUEBERRYLOT6",236111,2,0,3,11,3,0,3,0,1,1,0,1,3,1,0,0,5,1,0,0,0,2,6,1,0,0,3,5,5,15,8,14,31,20,36,11,5,8,19,0,1,0,11,0,26,0,0,0,0,3,0,2,18,6,3,0,1,0,2,0,0,1,0,0,0,0,0,0,4,0,0,8,0,0,2,1,0,8,0,1,0,0,0,0,0,4,3,4,5,14,1,1,13,41,32,17,15,1,5,0,3,3,4,6,7,2,1,8,0,1,9
c3,c3,Hybrid,0.0007945682432040965,"3C3,CC3,C3",236143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
little dragon,little-dragon,Hybrid,0.0009573443763604912,,236175,1,0,1,5,1,0,4,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,4,0,0,1,0,4,4,4,5,2,7,1,6,0,3,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,0,1,2,0,0,2,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,5,8,3,1,4,0,3,0,2,3,2,1,1,2,2,3,1,2,4
legendary lemon,legendary-lemon,Sativa,0.0007311131404482137,,236207,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
four cups,four-cups,Hybrid,0.00018484747324539743,,236239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,1,2,1,0,0,1,2,1,1,0,0,1,2,0,0,2
cheeseburger,cheeseburger,Hybrid,0.0011477096846281393,"CHEESEBERRY,CHEESEBURGER",236401,0,0,0,1,2,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,2,2,2,1,0,2,2,0,3,0,1,4,4,0,0,0,0,0,0,0,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,2,2,1,4,0,0,4,6,7,5,4,0,1,1,0,1,2,0,0,1,1,4,0,1,1
