strain_name,strain_slug,strain_category,strain_popularity,strain_aliases,strain_id,condition_add_adhd_votes,condition_alzheimers_votes,condition_anorexia_votes,condition_anxiety_votes,condition_arthritis_votes,condition_asthma_votes,condition_bipolar_disorder_votes,condition_cachexia_votes,condition_cancer_votes,condition_crohns_disease_votes,condition_epilepsy_votes,condition_fibromyalgia_votes,condition_gastrointestinal_disorder_votes,condition_glaucoma_votes,condition_hiv_aids_votes,condition_hypertension_votes,condition_migraines_votes,condition_multiple_sclerosis_votes,condition_muscular_dystrophy_votes,condition_parkinsons_votes,condition_phantom_limb_pain_votes,condition_pms_votes,condition_ptsd_votes,condition_spinal_cord_injury_votes,condition_tinnitus_votes,condition_tourettes_syndrome_votes,effect_aroused_votes,effect_creative_votes,effect_energetic_votes,effect_euphoric_votes,effect_focused_votes,effect_giggly_votes,effect_happy_votes,effect_hungry_votes,effect_relaxed_votes,effect_sleepy_votes,effect_talkative_votes,effect_tingly_votes,effect_uplifted_votes,flavor_ammonia_votes,flavor_apple_votes,flavor_apricot_votes,flavor_berry_votes,flavor_blue_cheese_votes,flavor_blueberry_votes,flavor_butter_votes,flavor_cheese_votes,flavor_chemical_votes,flavor_chestnut_votes,flavor_citrus_votes,flavor_coffee_votes,flavor_diesel_votes,flavor_earthy_votes,flavor_flowery_votes,flavor_grape_votes,flavor_grapefruit_votes,flavor_honey_votes,flavor_lavender_votes,flavor_lemon_votes,flavor_lime_votes,flavor_mango_votes,flavor_menthol_votes,flavor_mint_votes,flavor_nutty_votes,flavor_orange_votes,flavor_peach_votes,flavor_pear_votes,flavor_pepper_votes,flavor_pine_votes,flavor_pineapple_votes,flavor_plum_votes,flavor_pungent_votes,flavor_rose_votes,flavor_sage_votes,flavor_skunk_votes,flavor_spicy_herbal_votes,flavor_strawberry_votes,flavor_sweet_votes,flavor_tar_votes,flavor_tea_votes,flavor_tobacco_votes,flavor_tree_fruit_votes,flavor_tropical_votes,flavor_vanilla_votes,flavor_violet_votes,flavor_woody_votes,negative_anxious_votes,negative_dizzy_votes,negative_dry_eyes_votes,negative_dry_mouth_votes,negative_headache_votes,negative_paranoid_votes,review_total_condition_votes,review_total_effect_votes,review_total_flavor_votes,review_total_negative_votes,review_total_symptom_votes,symptom_cramps_votes,symptom_depression_votes,symptom_eye_pressure_votes,symptom_fatigue_votes,symptom_headaches_votes,symptom_inflammation_votes,symptom_insomnia_votes,symptom_lack_of_appetite_votes,symptom_muscle_spasms_votes,symptom_nausea_votes,symptom_pain_votes,symptom_seizures_votes,symptom_spasticity_votes,symptom_stress_votes
schrom,schrom,Sativa,0.0022209285964558947,"SHROM,SCHROM",88111,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,9,10,6,8,3,13,2,13,0,5,2,13,1,0,0,0,0,0,0,0,0,0,6,0,0,2,1,0,2,0,0,7,4,0,1,0,0,1,0,0,1,4,0,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,19,11,6,11,0,7,1,2,1,0,1,2,3,0,4,0,1,7
grape ox,grape-ox,Indica,0.001103567004450134,"GRAPEOG1,GRAPE,GRAPEXOG,GRAPEOG",88914,3,0,0,9,3,1,3,0,1,0,3,2,2,0,0,0,1,0,0,0,1,3,6,1,0,1,6,6,4,10,5,3,8,7,16,13,1,7,9,0,0,0,8,0,4,0,2,0,0,0,3,1,3,1,16,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,2,0,7,1,2,11,21,18,9,15,2,12,1,4,7,6,11,4,4,3,11,2,4,14
catfish,catfish,Sativa,0.005294362703849517,,88947,3,0,2,4,4,0,3,1,2,3,1,1,3,2,0,1,3,1,0,0,0,0,5,0,0,1,1,16,18,15,11,6,15,8,9,1,7,7,18,4,0,0,0,0,0,0,0,4,0,1,0,2,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,1,3,0,0,0,0,1,0,0,0,0,1,1,0,3,3,0,3,9,21,9,7,12,4,7,1,4,3,1,2,6,1,6,6,1,1,8
melon gum,melon-gum,Hybrid,0.014771244354565043,"MELLONGUM,MELONGUM,SOURMELONGUM",88976,3,1,3,7,3,1,3,0,2,1,1,1,1,2,1,0,3,1,1,1,0,2,3,0,1,1,4,13,7,11,15,7,23,12,24,7,7,10,16,0,0,0,7,0,1,1,0,0,0,8,0,0,5,8,4,0,1,10,2,1,1,0,0,0,1,1,1,0,1,1,0,1,2,0,0,2,7,16,1,1,0,4,8,0,1,1,1,5,5,11,0,3,8,36,28,15,12,0,7,3,7,3,5,3,2,2,4,7,1,1,8
khalifa kush,khalifa-kush,Hybrid,0.10180405616052486,"KALIFADKUSH,KHALIFAKUSH",89682,39,3,12,75,29,12,25,3,10,5,7,11,8,9,3,11,32,4,6,5,7,11,36,13,8,6,45,146,110,186,108,101,231,100,216,54,87,78,185,2,5,1,10,1,4,3,5,7,2,68,6,18,60,14,2,6,4,4,69,17,8,1,4,7,11,1,1,3,68,6,1,65,3,3,26,17,2,63,1,4,1,5,19,4,3,23,12,21,47,82,12,12,119,325,195,118,165,18,101,19,38,50,29,46,56,31,30,81,9,9,113
middlefork,middlefork,Hybrid,0.0029272114793039805,MIDDLEFORK,89809,10,0,4,21,3,2,5,0,0,2,0,1,9,1,0,5,12,0,0,0,0,3,11,1,1,0,15,36,28,49,31,23,57,15,58,13,15,19,50,0,0,0,17,0,14,1,1,0,0,12,1,1,18,1,1,0,0,1,6,5,0,0,0,1,0,0,0,2,9,2,0,4,1,3,3,5,1,24,2,0,0,2,5,1,1,2,5,3,8,16,4,1,33,78,45,23,48,5,20,2,11,16,7,15,11,6,13,27,1,2,34
sweet cheese,sweet-cheese,Sativa,0.006632437696745305,SWEETCHEESE,89840,5,0,4,24,1,0,10,0,2,2,1,2,3,1,0,3,7,1,0,0,0,2,8,2,0,0,7,25,23,46,23,14,51,12,36,8,18,11,39,1,1,0,1,4,2,2,34,2,0,3,2,3,11,3,2,2,3,1,2,1,2,1,2,3,1,3,2,2,4,3,0,17,1,3,4,6,1,32,1,0,0,2,1,2,0,4,3,4,7,14,6,5,32,71,48,28,39,4,26,4,12,8,3,10,11,5,12,14,1,3,27
aceh,aceh,Sativa,0.0017739839596535903,,89935,1,1,0,6,2,2,4,0,4,1,1,0,1,4,0,1,5,0,0,1,0,3,1,0,0,0,1,16,7,10,13,5,13,7,14,5,9,1,5,1,0,0,0,0,0,0,0,0,0,3,0,1,10,0,0,0,0,0,1,1,3,0,0,2,0,0,0,1,0,1,0,3,0,0,3,0,0,0,0,1,0,0,4,0,0,5,1,2,1,10,0,0,14,18,15,11,14,2,11,0,2,5,0,6,1,0,3,5,0,0,11
godzilla,godzilla,Indica,0.0068393565100797055,BUDZILLA,92879,2,0,0,6,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,4,1,0,0,3,6,5,17,4,5,14,11,18,10,3,7,8,0,0,0,3,0,1,0,0,1,0,2,1,3,9,2,0,0,0,1,1,0,0,0,2,1,0,0,0,1,4,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,1,3,2,0,6,12,0,1,11,25,13,13,15,1,7,2,1,5,7,6,6,2,2,10,0,0,9
omega dawg,omega-dawg,Hybrid,0.0008387109233821018,OMEGADAWG,92911,4,2,2,4,5,1,2,1,1,2,3,5,2,1,2,4,3,2,1,2,1,3,1,1,1,1,4,7,6,8,5,5,9,6,9,4,7,6,10,0,0,0,1,0,0,0,0,0,0,1,0,4,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,1,0,3,0,1,3,0,0,4,0,0,0,1,1,0,0,2,0,1,1,0,1,0,8,15,10,2,9,3,5,2,5,6,1,4,4,4,4,8,2,1,6
punky lion,punky-lion,Indica,0.002902381221703852,,92943,2,0,0,3,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,8,1,2,6,1,12,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,1,4,0,0,4,12,8,4,6,0,3,0,0,1,2,1,0,3,1,3,0,1,4
stella blue,stella-blue,Sativa,0.0013766998380515421,STELLABLUEXWAKO,93007,3,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,5,9,5,3,3,12,4,8,1,3,1,9,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,1,3,13,6,7,6,0,3,0,5,0,0,0,2,1,1,4,0,0,5
swazi gold,swazi-gold,Sativa,0.006453108058522158,,93039,7,0,3,9,1,4,7,0,2,0,2,1,1,3,0,3,3,1,0,1,2,3,3,1,0,1,9,19,25,27,15,24,35,23,24,20,16,10,19,1,1,0,0,0,0,0,0,0,0,8,1,1,28,9,0,0,0,1,2,0,0,1,0,2,2,0,0,1,5,1,0,12,1,1,5,7,0,16,3,1,4,0,1,0,0,11,7,7,15,25,4,9,17,59,42,31,35,1,20,6,5,9,3,11,12,2,8,13,2,1,23
blue nightmare,blue-nightmare,Hybrid,0.0028444439539702204,,94031,1,0,0,6,1,0,2,0,0,2,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,5,18,8,18,8,15,30,10,23,8,12,4,14,0,0,0,12,1,10,1,0,0,0,1,0,1,5,3,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,1,1,1,0,2,1,2,0,7,0,0,0,0,3,0,0,0,1,2,0,3,0,2,10,32,20,6,9,1,6,1,1,5,1,4,3,3,5,5,0,1,4
